Banco;ID;Emp;Tipo;Regra;Descricao;Debito;D-Terc;D-C/C;Credito;C-Terc;C-C/C;Historico
237;10770;9999;C;COM;PGTO.MEDIANTE AUT.DBTP;#BCO;;;1191101;;;PGTO.MEDIANTE AUT.DBTP
237;12557;9999;C;COM;PGTO.SINISTRO AP/CERTIF.;#BCO;;;1191101;;;PGTO.SINISTRO AP/CERTIF.
237;11780;9999;D;COM;PIX QR CODE DINAMICO;1191201;;;#BCO;;;PIX QR CODE DINAMICO
237;12728;9999;D;COM;PIX QR CODE ESTATICO DES: PIX Marketplace  ;1191201;;;#BCO;;;D�bito em c/c
237;12556;9999;D;COM;PIX QR CODE ESTATICO DES: RENATO J DE OLIVEIRA  12/06;1191201;;;#BCO;;;PIX QR CODE ESTATICO DES: RENATO J DE OLIVEIRA  12/06
237;4261;9999;D;COM;QUANDO DO REGISTRO 00000042;1191201;;;#BCO;;;QUANDO DO REGISTRO 00000042
237;95;9999;C;COM;RECEB POR FORNECIMENTO;#BCO;;;1191101;;;RECEB POR FORNECIMENTO
237;35;9999;C;COM;RECEBIMENTO FORNECEDOR;#BCO;;;1191101;;;RECEBIMENTO FORNECEDOR
237;633;9999;C;COM;RECEBIMENTO FORNECEDOR BANCO BANKPAR S/A;#BCO;;;1191101;;;RECEBIMENTO FORNECEDOR BANCO BANKPAR S/A
237;3805;9999;C;COM;RECEBIMENTO FORNECEDOR BCO BRADESCO CARTOES S/A PAGFO;#BCO;;;1191101;;;RECEBIMENTO FORNECEDOR BCO BRADESCO CARTOES S/A PAGFO
237;645;9999;C;COM;RECEBIMENTO FORNECEDOR CIA BRAS DE MEIOS DE PAGAMENTO;#BCO;;;1191101;;;RECEBIMENTO FORNECEDOR CIA BRAS DE MEIOS DE PAGAMENTO
237;5828;9999;C;COM;RECEBIMENTO FORNECEDOR CIELO SA;#BCO;;;1191101;;;RECEBIMENTO FORNECEDOR CIELO SA
237;10226;9999;C;COM;RECEBIMENTO FORNECEDOR CRED SYSTEM ADMINISTRADORA DE;#BCO;;;1191101;;;RECEBIMENTO FORNECEDOR CRED SYSTEM ADMINISTRADORA DE
237;634;9999;C;COM;RECEBIMENTO FORNECEDOR HIPERCARD BANCO MULTIPLO SA;#BCO;;;1191101;;;RECEBIMENTO FORNECEDOR HIPERCARD BANCO MULTIPLO SA
237;644;9999;C;COM;RECEBIMENTO FORNECEDOR REDECARD S A;#BCO;;;1191101;;;RECEBIMENTO FORNECEDOR REDECARD S A
